shape_group,shape,setup,technique,accuracy,failed,checked,baseline_ms,optimized_ms,speedup
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",11000,PASS,0,39845888,2.4910,1.5647,1.592
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",11001,PASS,0,39845888,2.4918,1.5647,1.593
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",11010,PASS,0,39845888,2.4927,1.6145,1.544
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",11011,PASS,0,39845888,2.4892,1.6156,1.541
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",11100,PASS,0,39845888,2.4923,1.3035,1.912
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",11101,PASS,0,39845888,2.4921,1.3043,1.911
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",11110,PASS,0,39845888,2.4908,1.3156,1.893
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",11111,PASS,0,39845888,2.4928,1.3165,1.894
appendix test shape,#6 B10000 D128 H4 S128 L4,"B=10000,S=128,D=128,H=4,FFN=128,L=4,causal=True",00000,PASS,0,3112960000,278.4719,278.0869,1.001
appendix test shape,#6 B10000 D128 H4 S128 L4,"B=10000,S=128,D=128,H=4,FFN=128,L=4,causal=True",00001,PASS,0,3112960000,278.4851,278.1397,1.001
appendix test shape,#6 B10000 D128 H4 S128 L4,"B=10000,S=128,D=128,H=4,FFN=128,L=4,causal=True",00010,PASS,0,3112960000,278.4619,288.3915,0.966
